NAME	X	Y	cluster_cd8
TYPE	numeric	numeric	group
C04627	28.1328	28.1912	4
C04628	25.6276	27.9201	6
C04632	70.8613	9.5278	4
C04636	76.0168	22.2065	4
C04637	22.811	27.8212	4
C04639	34.5207	-89.4951	5
C04640	32.3229	38.7702	4
C04641	22.1512	52.4757	5
C04644	29.692	76.6655	5
C04645	24.036	28.5456	5
C04647	76.9207	22.802	4
C04648	61.8612	-79.1077	5
C04652	69.866	26.7767	4
C04653	64.6165	24.5018	4
C04656	66.1377	12.3684	4
C04657	28.8239	26.2875	4
C04658	39.8252	51.3386	5
C04659	34.3454	41.9041	4
C04661	-12.8568	15.738	4
C04662	32.0987	41.0175	4
C04663	38.1007	25.7941	4
C04664	-56.7634	6.4764	5
C04665	28.7376	37.9289	4
C04667	27.032	27.7063	4
C04668	9.3738	68.5239	5
C04670	22.0356	26.0795	4
C04671	42.0828	31.0593	4
C04672	62.4478	13.2547	4
C04673	40.4851	22.9569	4
C04674	75.8972	24.5442	4
C04675	61.7668	48.4327	4
C04676	42.084	-97.0339	5
C04678	34.9731	25.7811	4
C04679	14.1926	86.936	5
C04680	40.3141	23.0248	4
C04681	39.7066	26.4675	4
C04684	38.2591	7.7406	4
C04686	78.2491	25.2805	4
C04689	52.3332	52.3752	4
C04690	40.156	27.8078	4
C04692	35.3923	26.3228	4
C04693	29.4443	40.3463	5
C04694	31.9557	39.6186	4
C04696	13.7921	77.506	4
C04697	31.8111	25.4576	4
C04698	81.3212	-0.17	4
C04699	25.4819	29.0477	6
C04700	-77.8192	-16.8371	4
C04701	44.59	42.7806	4
C04703	36.8399	27.4097	4
C04705	21.7482	24.2813	4
C04706	28.2894	27.5663	4
C04710	48.8658	6.9609	4
C04711	46.8255	9.9962	4
C04713	41.3287	31.9145	4
C04715	47.8149	7.6006	4
C04716	28.2628	39.6792	5
C04717	23.0203	28.372	5
C04718	38.4875	36.1061	4
C04719	25.5367	29.9331	5
C04722	38.1607	26.8699	4
C04724	62.3965	11.3722	4
C04725	64.7301	10.6347	4
C04726	36.4025	18.8884	4
C04728	16.3634	78.4759	5
C04729	24.6358	83.188	5
C04730	50.1067	53.6941	4
C04731	26.761	32.907	5
C04732	23.5215	77.5772	5
C04733	10.3407	84.8815	5
C04734	32.5031	80.825	5
C04735	36.0923	87.7415	5
C04736	30.1458	83.2122	5
C04737	23.0988	51.8839	5
C04738	27.0782	87.6701	5
C04739	16.776	93.7456	5
C04740	31.8169	72.6768	5
C04742	30.8048	82.6853	5
C04743	17.7197	79.874	5
C04744	33.9402	-92.401	5
C04747	32.4209	86.3393	5
C04748	28.6782	80.4748	5
C04749	33.4659	89.3411	5
C04750	30.873	68.6407	5
C04751	30.6799	91.3405	5
C04752	29.6255	85.9706	5
C04753	27.9891	92.7277	5
C04755	32.4689	71.6897	5
C04756	28.034	93.4327	5
C04758	21.197	90.3512	5
C04759	30.3026	89.6312	5
C04760	33.2593	85.1722	5
C04761	30.3415	92.8827	5
C04762	22.4998	87.0135	5
C04764	27.3165	92.799	5
C04765	26.1848	87.178	5
C04766	16.0482	68.5597	5
C04767	24.9951	65.2146	5
C04769	15.4731	63.7798	5
C04770	27.7971	95.9473	5
C04771	21.6096	55.0779	5
C04772	22.5077	92.2437	5
C04773	22.2888	91.1044	5
C04774	30.2439	87.4392	5
C04775	28.4162	82.7455	5
C04776	17.9154	93.5626	5
C04777	15.7963	81.1988	5
C04778	23.6295	83.0907	5
C04779	28.0144	89.2858	5
C04780	32.6293	84.3473	5
C04781	35.0389	87.5031	5
C04782	30.4579	66.6682	5
C04783	28.4883	100.2042	5
C04784	32.6221	82.3157	5
C04785	28.451	83.9672	5
C04786	33.2186	83.0803	5
C04787	27.785	82.6346	5
C04788	26.4827	81.4277	5
C04789	33.88	85.987	5
C04790	32.1675	78.0145	5
C04791	17.4485	68.4573	5
C04792	25.411	96.7232	5
C04793	34.8066	72.8321	5
C04794	35.9611	76.0168	5
C04795	29.0938	78.8242	5
C04796	34.2341	86.7503	5
C04797	23.9034	62.139	5
C04798	11.2866	77.1122	5
C04799	35.1703	84.8941	5
C04800	27.7429	66.9717	5
C04804	23.8141	87.6889	5
C04805	31.4015	91.8696	5
C04806	33.6957	88.2902	5
